layer_name,n_params,amount=0.1,amount=0.2,amount=0.25,amount=0.3,amount=0.35,amount=0.4,amount=0.45,amount=0.5,amount=0.55,amount=0.6
decoder.blocks.0.conv1.0,7077888,0.004348158836364746,0.014722347259521484,-0.009512901306152344,-0.025665760040283203,-0.10790824890136719,-0.25113821029663086,-0.3794163465499878,-0.605475902557373,-1.0428249835968018,-1.728847622871399
decoder.blocks.1.conv1.0,884736,-0.00813603401184082,-0.019749999046325684,-0.0380098819732666,-0.0684976577758789,-0.0732123851776123,-0.11344254016876221,-0.18540918827056885,-0.29629766941070557,-0.4583507776260376,-0.6437510251998901
decoder.blocks.0.conv2.0,589824,-0.007006525993347168,-0.0368267297744751,-0.08876323699951172,-0.1459360122680664,-0.2133876085281372,-0.29723942279815674,-0.4323214292526245,-0.6264567375183105,-0.944828987121582,-1.4222323894500732
encoder.layer4.0.conv2,2359296,-0.0004380941390991211,-0.002485513687133789,-0.013440847396850586,-0.004920363426208496,-0.023376941680908203,-0.04433095455169678,-0.05663633346557617,-0.0861138105392456,-0.14103055000305176,-0.21620690822601318
encoder.layer4.1.conv2,2359296,0.001329183578491211,-0.009226799011230469,-0.010845065116882324,-0.012132525444030762,-0.017547607421875,-0.03724098205566406,-0.05974471569061279,-0.1264035701751709,-0.21112561225891113,-0.4233121871948242
encoder.layer4.2.conv2,2359296,0.0005841255187988281,0.0007539987564086914,0.006029009819030762,0.006791949272155762,0.005632638931274414,0.013518333435058594,0.025200843811035156,0.03679990768432617,0.00896751880645752,-0.016558170318603516
encoder.layer4.0.downsample.0,2097152,0.0042498111724853516,0.00039637088775634766,-0.003898143768310547,-0.0018656253814697266,-0.026729702949523926,-0.03331303596496582,-0.04516243934631348,-0.05829036235809326,-0.12298226356506348,-0.1965939998626709
encoder.layer4.0.conv3,1048576,-0.0019729137420654297,-0.0065773725509643555,-0.005245208740234375,-0.0032007694244384766,-0.010538101196289062,-0.02034008502960205,-0.014081597328186035,-0.025954842567443848,-0.06115734577178955,-0.14069676399230957
encoder.layer4.1.conv1,1048576,-0.0012189149856567383,-0.015079975128173828,-0.011089444160461426,-0.022229552268981934,-0.032320618629455566,-0.07276535034179688,-0.08450746536254883,-0.14613866806030273,-0.22978484630584717,-0.32816827297210693
encoder.layer4.1.conv3,1048576,0.0018000602722167969,0.009241700172424316,0.017327070236206055,0.003382563591003418,0.003466010093688965,0.0012755393981933594,-0.0017404556274414062,-0.011217594146728516,-0.06531178951263428,-0.1133948564529419
encoder.layer4.2.conv1,1048576,0.0023633241653442383,8.64267349243164e-05,-0.012278556823730469,-0.014579296112060547,-0.027573108673095703,-0.050255656242370605,-0.0940561294555664,-0.1039654016494751,-0.13854801654815674,-0.2443552017211914
encoder.layer4.2.conv3,1048576,0.0018149614334106445,-0.011005997657775879,-0.023877620697021484,-0.04849433898925781,-0.07769167423248291,-0.12553632259368896,-0.13456940650939941,-0.13710260391235352,-0.20386576652526855,-0.3530144691467285
encoder.layer3.0.conv2,589824,0.0026941299438476562,0.004145503044128418,-0.0005751848220825195,0.005707144737243652,0.008025765419006348,0.0189363956451416,0.008195638656616211,-0.020381808280944824,-0.05219876766204834,-0.11344254016876221
encoder.layer3.1.conv2,589824,0.0026673078536987305,0.0041544437408447266,0.0016689300537109375,0.004473328590393066,-0.000998377799987793,0.001233816146850586,-0.0007063150405883789,-0.0023633241653442383,-0.012931227684020996,-0.014108419418334961
encoder.layer3.2.conv2,589824,-0.002995133399963379,-0.0015348196029663086,-0.0037997961044311523,-0.001233816146850586,-0.011363625526428223,-0.0019788742065429688,-0.011923909187316895,-0.01749098300933838,-0.030276179313659668,-0.04379451274871826
encoder.layer3.3.conv2,589824,-0.00025331974029541016,0.0005245208740234375,0.0015497207641601562,0.00012814998626708984,0.0013232231140136719,0.0031262636184692383,0.0019043684005737305,0.007447600364685059,0.010645389556884766,0.01080334186553955
encoder.layer3.4.conv2,589824,0.0011414289474487305,0.0030815601348876953,0.0037223100662231445,0.0021576881408691406,0.005158782005310059,0.003984570503234863,0.0022411346435546875,-0.0027507543563842773,-0.006243586540222168,-0.011014938354492188
encoder.layer3.5.conv2,589824,0.0016689300537109375,-0.0011295080184936523,-0.002250075340270996,-0.0024378299713134766,-0.00565946102142334,0.0050574541091918945,-0.0015914440155029297,-0.016924738883972168,-0.015407800674438477,-0.023245811462402344
encoder.layer3.6.conv2,589824,0.0037342309951782227,0.005999207496643066,0.003001093864440918,0.007733702659606934,0.006160140037536621,0.00883936882019043,0.006896257400512695,0.007894635200500488,0.0031620264053344727,0.007191300392150879
encoder.layer3.7.conv2,589824,0.0030815601348876953,0.0023752450942993164,0.008320808410644531,0.00807642936706543,0.011685490608215332,0.016352534294128418,0.017970800399780273,0.020945072174072266,0.01271069049835205,0.017398595809936523
encoder.layer3.8.conv2,589824,0.0036001205444335938,-0.0004857778549194336,-0.0007867813110351562,-0.005811452865600586,-0.006163120269775391,-0.009268522262573242,0.00034868717193603516,-0.01786649227142334,-0.018197298049926758,-0.03841817378997803
encoder.layer3.9.conv2,589824,0.0018656253814697266,0.0013053417205810547,0.005185604095458984,-0.0010967254638671875,-0.004464387893676758,-0.00775456428527832,-0.01856386661529541,-0.03600716590881348,-0.04503130912780762,-0.05022585391998291
encoder.layer3.10.conv2,589824,0.0037789344787597656,0.008288025856018066,0.0032693147659301758,0.0022232532501220703,0.0027745962142944336,0.003522634506225586,-0.003987550735473633,-0.019490718841552734,-0.023952126502990723,-0.040784478187561035
encoder.layer3.11.conv2,589824,0.0019043684005737305,0.002020597457885742,0.0023603439331054688,0.0027507543563842773,-0.002613663673400879,-0.010472536087036133,-0.01609623432159424,-0.015017390251159668,-0.017404556274414062,-0.021275877952575684
encoder.layer3.12.conv2,589824,0.0006139278411865234,0.0009626150131225586,0.000762939453125,0.0072062015533447266,0.0037670135498046875,-0.0012576580047607422,-0.009483098983764648,-0.013589859008789062,-0.018548965454101562,-0.04812479019165039
encoder.layer3.13.conv2,589824,0.003981590270996094,0.003796815872192383,-0.0035047531127929688,-0.004759430885314941,-0.012421607971191406,-0.018644332885742188,-0.012281537055969238,-0.015974044799804688,-0.03082454204559326,-0.05422532558441162
encoder.layer3.14.conv2,589824,0.002020597457885742,0.0020384788513183594,-0.005424022674560547,-0.015154480934143066,-0.02963244915008545,-0.037297606468200684,-0.05403757095336914,-0.07872879505157471,-0.11830329895019531,-0.19805431365966797
encoder.layer3.15.conv2,589824,0.0033169984817504883,0.005078315734863281,0.0011861324310302734,-0.003540515899658203,-0.0032007694244384766,-0.010389089584350586,-0.01868605613708496,-0.04545450210571289,-0.06117522716522217,-0.10020732879638672
encoder.layer3.16.conv2,589824,-0.00027120113372802734,0.0011682510375976562,0.0050961971282958984,0.0006735324859619141,-0.009775161743164062,-0.01747310161590576,-0.03026127815246582,-0.03890097141265869,-0.062090158462524414,-0.09560286998748779
encoder.layer3.17.conv2,589824,-0.0019162893295288086,-0.0009775161743164062,-0.0003993511199951172,-0.0038415193557739258,-0.004270672798156738,-0.0064879655838012695,-0.009003281593322754,-0.01671314239501953,-0.030755996704101562,-0.05950033664703369
encoder.layer3.18.conv2,589824,-0.0007212162017822266,0.0024497509002685547,-0.000903010368347168,0.004211068153381348,0.0012427568435668945,0.00317990779876709,-0.010794401168823242,-0.01882314682006836,-0.029212236404418945,-0.059613585472106934
